file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oracle-cdc\src\test\java\org\apache\flink\cdc\connectors\oracle\OracleSourceTest.java,org.apache.flink.cdc.connectors.oracle.OracleSourceTest$Anonymous7,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oracle-cdc\src\test\java\org\apache\flink\cdc\connectors\oracle\OracleSourceTest.java,org.apache.flink.cdc.connectors.oracle.OracleSourceTest$Anonymous6,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-sql-connector-mysql-cdc\src\main\java\org\apache\flink\cdc\connectors\mysql\DummyDocs.java,org.apache.flink.cdc.connectors.mysql.DummyDocs,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oracle-cdc\src\test\java\org\apache\flink\cdc\connectors\oracle\OracleSourceTest.java,org.apache.flink.cdc.connectors.oracle.OracleSourceTest$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\types\DataTypeChecks.java,org.apache.flink.cdc.common.types.DataTypeChecks$FieldTypesExtractor,innerclass,3,3,0,3,1,3,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oracle-cdc\src\test\java\org\apache\flink\cdc\connectors\oracle\OracleSourceTest.java,org.apache.flink.cdc.connectors.oracle.OracleSourceTest$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-common\src\main\java\org\apache\flink\cdc\common\schema\Selectors.java,org.apache.flink.cdc.common.schema.Selectors$Selector,innerclass,2,2,0,2,9,1,0,6,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,3,21,3,0,5,0,0,0,0,5,0,8,2,0,0,3,22,10,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\test\java\org\apache\flink\cdc\connectors\mysql\source\reader\MySqlSourceReaderTest.java,org.apache.flink.cdc.connectors.mysql.source.reader.MySqlSourceReaderTest$SimpleReaderOutput,innerclass,5,5,0,5,8,1,0,2,26,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,24,2,0,0,0,0,0,0,1,0,1,0,0,0,0,26,10,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oracle-cdc\src\main\java\org\apache\flink\cdc\connectors\oracle\source\OraclePooledDataSourceFactory.java,org.apache.flink.cdc.connectors.oracle.source.OraclePooledDataSourceFactory,class,3,4,1,3,2,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,15,2,0,0,0,0,1,1,5,0,5,1,0,0,0,31,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\test\java\org\apache\flink\cdc\connectors\mysql\source\reader\MySqlRecordEmitterTest.java,org.apache.flink.cdc.connectors.mysql.source.reader.MySqlRecordEmitterTest,class,14,15,1,14,4,1,0,22,3,0.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,37,2,0,0,1,0,6,4,7,0,11,2,1,0,2,38,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-cdc-base\src\test\java\org\apache\flink\cdc\connectors\base\experimental\offset\BinlogOffsetFactory.java,org.apache.flink.cdc.connectors.base.experimental.offset.BinlogOffsetFactory,class,4,6,2,4,7,2,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,1,1,0,1,0,0,0,0,0,21,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-runtime\src\test\java\org\apache\flink\cdc\runtime\serializer\data\TimestampDataSerializerTest.java,org.apache.flink.cdc.runtime.serializer.data.TimestampDataSerializerTest$TimestampSerializer6Test,innerclass,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,24,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-db2-cdc\src\main\java\org\apache\flink\cdc\connectors\db2\Db2Source.java,org.apache.flink.cdc.connectors.db2.Db2Source$Builder,innerclass,6,6,0,6,14,1,0,9,27,0.8000001,0.0,0.0,10,0,10,0,0,0,10,0,0,0,9,0,0,9,0,0,0,0,4,75,10,0,2,0,0,14,1,12,0,10,1,0,0,0,29,9,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-db2-cdc\src\main\java\org\apache\flink\cdc\connectors\db2\source\handler\Db2SchemaChangeEventHandler.java,org.apache.flink.cdc.connectors.db2.source.handler.Db2SchemaChangeEventHandler,class,3,4,1,3,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,4,0,4,0,0,0,0,37,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-runtime\src\main\java\org\apache\flink\cdc\runtime\operators\schema\coordinator\SchemaDerivation.java,org.apache.flink.cdc.runtime.operators.schema.coordinator.SchemaDerivation,class,19,23,4,19,46,1,0,45,0,0.56666666,0.0,0.0,10,2,5,5,0,0,5,0,0,0,3,0,0,3,0,0,3,0,5,188,18,7,1,0,0,2,3,42,0,47,4,0,0,3,77,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-oceanbase-cdc\src\main\java\org\apache\flink\cdc\connectors\oceanbase\table\OceanBaseTableSourceFactory.java,org.apache.flink.cdc.connectors.oceanbase.table.OceanBaseTableSourceFactory,class,16,17,1,16,15,1,0,42,11,0.71428573,0.0,0.0,7,1,4,3,0,0,4,0,0,0,25,25,20,5,0,0,25,0,11,128,9,0,1,1,1,55,2,54,1,56,2,0,0,2,164,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-sqlserver-cdc\src\test\java\org\apache\flink\cdc\connectors\sqlserver\table\SqlServerConnectorITCase.java,org.apache.flink.cdc.connectors.sqlserver.table.SqlServerConnectorITCase,class,12,13,1,12,14,3,0,33,0,0.625,0.0,0.0,10,1,9,1,0,0,9,0,0,0,4,1,1,3,0,0,3,0,20,140,1,1,1,4,0,258,12,37,10,37,1,0,0,0,170,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-mysql-cdc\src\test\java\org\apache\flink\cdc\connectors\mysql\source\assigners\MySqlChunkSplitterTest.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlChunkSplitterTest,class,4,4,0,4,2,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,6,21,4,2,4,0,0,0,0,19,1,0
D:\oodassignment2\projects\flink-cdc\flink-cdc-connect\flink-cdc-source-connectors\flink-connector-sqlserver-cdc\src\main\java\org\apache\flink\cdc\connectors\sqlserver\source\reader\fetch\SqlServerSourceFetchTaskContext.java,org.apache.flink.cdc.connectors.sqlserver.source.reader.fetch.SqlServerSourceFetchTaskContext,class,37,42,5,37,23,2,0,45,193,0.90909094,0.0,0.0,22,0,20,2,0,0,20,0,0,0,15,1,0,15,0,0,4,0,4,140,18,0,0,0,0,1,0,22,0,22,0,0,1,1,125,1,0
